"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"100만원 미만","응답자","음성통화 제외","4시간이상","%","","","","22.1","8.8","13.8","7.9","7.2","12.5","17.6","11.5",
"100만원 미만","응답자","음성통화 제외","평균","분","","96.8","100.3","129","84.5","97","73","70.7","92.4","111.2","78.8",
"100만원 미만","응답자","음성통화/문자 제외","사례수","명","104","","","","","","","","","","",
"100만원 미만","응답자","음성통화/문자 제외","30분 미만","%","22.2","","","","","","","","","","",
"100만원 미만","응답자","음성통화/문자 제외","30분-1시간 미만","%","17.2","","","","","","","","","","",
"100만원 미만","응답자","음성통화/문자 제외","1-2시간 미만","%","24.5","","","","","","","","","","",
"100만원 미만","응답자","음성통화/문자 제외","2시간 이상","%","36.1","","","","","","","","","","",
"100만원 미만","응답자","음성통화/문자 제외","평균","분","104.3","","","","","","","","","","",
"100-199만원","전체","음성통화 제외","사례수","명","","","","","973","936","","","","","",
"100-199만원","전체","음성통화 제외","1시간 미만","%","","","","","63.5","65.9","","","","","",
"100-199만원","전체","음성통화 제외","1-2시간 미만","%","","","","","15.5","10.9","","","","","",
"100-199만원","전체","음성통화 제외","2-3시간 미만","%","","","","","10","8.2","","","","","",
"100-199만원","전체","음성통화 제외","3-4시간 미만","%","","","","","3.7","7.7","","","","","",
"100-199만원","전체","음성통화 제외","4시간이상","%","","","","","7.4","7.3","","","","","",
"100-199만원","전체","음성통화 제외","평균","분","","","","","59","59.5","","","","","",
"100-199만원","응답자","음성통화 제외","사례수","명","","445","472","512","633","641","659","646","624","492","613",
"100-199만원","응답자","음성통화 제외","30분 미만","%","","16.8","16.3","","","","","","","","",
"100-199만원","응답자","음성통화 제외","1시간 미만","%","","","","32.8","43.9","50.3","45.5","54","42.6","48.5","43.2",
"100-199만원","응답자","음성통화 제외","30분-1시간 미만","%","","24.2","19.1","","","","","","","","",
"100-199만원","응답자","음성통화 제외","1-2시간 미만","%","","22.2","45.7","31","23.7","16","23.6","19.4","24.2","18.3","20.7",
"100-199만원","응답자","음성통화 제외","2-3시간 미만","%","","11.9","19","17.4","15.4","11.9","13.8","11.6","12.8","12.1","9.8",
"100-199만원","응답자","음성통화 제외","3-4시간 미만","%","","","","7.9","5.7","11.2","8","5.9","10.4","9.9","7.6",
"100-199만원","응답자","음성통화 제외","3시간 이상","%","","24.9","","","","","","","","","",
"100-199만원","응답자","음성통화 제외","4시간이상","%","","","","10.9","11.3","10.7","9.1","9.2","10.1","11.2","18.6",
"100-199만원","응답자","음성통화 제외","평균","분","","126.7","102.3","102","90.6","86.9","82","75.5","94.1","85.8","103.5",
"100-199만원","응답자","음성통화/문자 제외","사례수","명","181","","","","","","","","","","",
"100-199만원","응답자","음성통화/문자 제외","30분 미만","%","23.8","","","","","","","","","","",
"100-199만원","응답자","음성통화/문자 제외","30분-1시간 미만","%","24.9","","","","","","","","","","",
"100-199만원","응답자","음성통화/문자 제외","1-2시간 미만","%","26.8","","","","","","","","","","",
"100-199만원","응답자","음성통화/문자 제외","2시간 이상","%","24.6","","","","","","","","","","",
"100-199만원","응답자","음성통화/문자 제외","평균","분","94.4","","","","","","","","","","",
"200-299만원","전체","음성통화 제외","사례수","명","","","","","1465","1364","","","","","",
"200-299만원","전체","음성통화 제외","1시간 미만","%","","","","","46.7","44.5","","","","","",
"200-299만원","전체","음성통화 제외","1-2시간 미만","%","","","","","21","26.7","","","","","",
"200-299만원","전체","음성통화 제외","2-3시간 미만","%","","","","","14.8","11.4","","","","","",
"200-299만원","전체","음성통화 제외","3-4시간 미만","%","","","","","7.8","6.7","","","","","",
"200-299만원","전체","음성통화 제외","4시간이상","%","","","","","9.7","10.7","","","","","",
"200-299만원","전체","음성통화 제외","평균","분","","","","","85","85.5","","","","","",
