"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"지상파DMB","응답자","음성통화/문자 제외","30분-1시간 미만","%","26.9","","","","","","","","","","",
"지상파DMB","응답자","음성통화/문자 제외","1-2시간 미만","%","29.4","","","","","","","","","","",
"지상파DMB","응답자","음성통화/문자 제외","2시간 이상","%","27","","","","","","","","","","",
"지상파DMB","응답자","음성통화/문자 제외","평균","분","84.3","","","","","","","","","","",
"위성DMB","응답자","음성통화/문자 제외","사례수","명","58","","","","","","","","","","",
"위성DMB","응답자","음성통화/문자 제외","30분 미만","%","10.8","","","","","","","","","","",
"위성DMB","응답자","음성통화/문자 제외","30분-1시간 미만","%","11.1","","","","","","","","","","",
"위성DMB","응답자","음성통화/문자 제외","1-2시간 미만","%","32.3","","","","","","","","","","",
"위성DMB","응답자","음성통화/문자 제외","2시간 이상","%","45.8","","","","","","","","","","",
"위성DMB","응답자","음성통화/문자 제외","평균","분","107","","","","","","","","","","",
"아날로그케이블방송","전체","음성통화 제외","사례수","명","","","","","1084","714","","","","","",
"아날로그케이블방송","전체","음성통화 제외","1시간 미만","%","","","","","62.2","62.6","","","","","",
"아날로그케이블방송","전체","음성통화 제외","1-2시간 미만","%","","","","","18.2","18.8","","","","","",
"아날로그케이블방송","전체","음성통화 제외","2-3시간 미만","%","","","","","8.1","7","","","","","",
"아날로그케이블방송","전체","음성통화 제외","3-4시간 미만","%","","","","","5.2","6","","","","","",
"아날로그케이블방송","전체","음성통화 제외","4시간이상","%","","","","","6.2","5.6","","","","","",
"아날로그케이블방송","전체","음성통화 제외","평균","분","","","","","62.3","58.5","","","","","",
"아날로그케이블방송","응답자","음성통화 제외","사례수","명","","","969","803","725","476","379","216","76","181","27",
"아날로그케이블방송","응답자","음성통화 제외","30분 미만","%","","","14.6","","","","","","","","",
"아날로그케이블방송","응답자","음성통화 제외","1시간 미만","%","","","","36.4","43.5","43.9","46.5","45.7","39.2","42.2","43.6",
"아날로그케이블방송","응답자","음성통화 제외","30분-1시간 미만","%","","","24.3","","","","","","","","",
"아날로그케이블방송","응답자","음성통화 제외","1-2시간 미만","%","","","46.6","33","27.2","28.1","20.4","21.5","26.6","28.3","17.7",
"아날로그케이블방송","응답자","음성통화 제외","2-3시간 미만","%","","","14.5","15.5","12.1","10.5","10.7","8.2","27.1","10.3","11.6",
"아날로그케이블방송","응답자","음성통화 제외","3-4시간 미만","%","","","","6.6","7.9","9","11.1","15.6","5.6","5.3","22.2",
"아날로그케이블방송","응답자","음성통화 제외","4시간이상","%","","","","8.6","9.3","8.4","11.2","9.1","1.6","13.9","5",
"아날로그케이블방송","응답자","음성통화 제외","평균","분","","","88.9","92.5","93.3","87.6","90.9","89.9","73.2","89.3","89",
"디지털케이블방송","전체","음성통화 제외","사례수","명","","","","","3206","3196","","","","","",
"디지털케이블방송","전체","음성통화 제외","1시간 미만","%","","","","","51.5","52.5","","","","","",
"디지털케이블방송","전체","음성통화 제외","1-2시간 미만","%","","","","","21","22.4","","","","","",
"디지털케이블방송","전체","음성통화 제외","2-3시간 미만","%","","","","","14.8","11.4","","","","","",
"디지털케이블방송","전체","음성통화 제외","3-4시간 미만","%","","","","","5.2","6.5","","","","","",
"디지털케이블방송","전체","음성통화 제외","4시간이상","%","","","","","7.5","7.3","","","","","",
"디지털케이블방송","전체","음성통화 제외","평균","분","","","","","71.4","69","","","","","",
"디지털케이블방송","응답자","음성통화 제외","사례수","명","","","1586","1781","2482","2563","2574","2632","2313","1805","2049",
"디지털케이블방송","응답자","음성통화 제외","30분 미만","%","","","12.7","","","","","","","","",
"디지털케이블방송","응답자","음성통화 제외","1시간 미만","%","","","","32.7","37.4","40.8","39.1","41.4","38.8","40.2","37.4",
"디지털케이블방송","응답자","음성통화 제외","30분-1시간 미만","%","","","26.5","","","","","","","","",
"디지털케이블방송","응답자","음성통화 제외","1-2시간 미만","%","","","46.9","29.6","27.1","27.9","28.8","26.8","27.9","26.4","25.2",
"디지털케이블방송","응답자","음성통화 제외","2-3시간 미만","%","","","13.9","18.1","19.1","14.2","15.2","16.3","14.1","13.5","15.6",
"디지털케이블방송","응답자","음성통화 제외","3-4시간 미만","%","","","","8.6","6.7","8.1","7.2","8.5","9.3","8.1","9.8",
"디지털케이블방송","응답자","음성통화 제외","4시간이상","%","","","","11","9.6","9.1","9.8","7.1","9.9","11.8","12.1",
"디지털케이블방송","응답자","음성통화 제외","평균","분","","","85.4","103","92.2","86.1","87.8","83.1","92.5","91.5","96.2",
"위성방송","전체","음성통화 제외","사례수","명","","","","","694","643","","","","","",
"위성방송","전체","음성통화 제외","1시간 미만","%","","","","","59.1","56.2","","","","","",
"위성방송","전체","음성통화 제외","1-2시간 미만","%","","","","","16.5","16.7","","","","","",
"위성방송","전체","음성통화 제외","2-3시간 미만","%","","","","","11.9","8.8","","","","","",
"위성방송","전체","음성통화 제외","3-4시간 미만","%","","","","","6.9","6.9","","","","","",
"위성방송","전체","음성통화 제외","4시간이상","%","","","","","5.6","11.3","","","","","",
"위성방송","전체","음성통화 제외","평균","분","","","","","61.9","75.3","","","","","",
"위성방송","응답자","음성통화 제외","사례수","명","","286","340","558","435","464","485","413","441","394","543",
"위성방송","응답자","음성통화 제외","30분 미만","%","","7","15.1","","","","","","","","",
"위성방송","응답자","음성통화 제외","1시간 미만","%","","","","27","34.8","39.4","37.5","41.4","29.6","38.5","35.9",
"위성방송","응답자","음성통화 제외","30분-1시간 미만","%","","18.4","23.9","","","","","","","","",
"위성방송","응답자","음성통화 제외","1-2시간 미만","%","","28.4","46.1","31.7","26.3","23.2","19.8","26.6","28.5","22","14.7",
"위성방송","응답자","음성통화 제외","2-3시간 미만","%","","20.9","15","22","19","12.2","18.1","14.4","15.2","10.2","19.9",
"위성방송","응답자","음성통화 제외","3-4시간 미만","%","","","","8.1","11","9.6","13.6","8.1","14.5","8.4","15",
"위성방송","응답자","음성통화 제외","3시간 이상","%","","25.2","","","","","","","","","",
"위성방송","응답자","음성통화 제외","4시간이상","%","","","","11.2","8.9","15.7","11.1","9.3","12.1","20.8","14.5",
"위성방송","응답자","음성통화 제외","평균","분","","132","91.1","110.9","98.7","104.3","99.7","88.7","108.3","110.3","112.5",
"위성방송","응답자","음성통화/문자 제외","사례수","명","143","","","","","","","","","","",
"위성방송","응답자","음성통화/문자 제외","30분 미만","%","8.7","","","","","","","","","","",
"위성방송","응답자","음성통화/문자 제외","30분-1시간 미만","%","28.4","","","","","","","","","","",
"위성방송","응답자","음성통화/문자 제외","1-2시간 미만","%","26.7","","","","","","","","","","",
"위성방송","응답자","음성통화/문자 제외","2시간 이상","%","36.2","","","","","","","","","","",
"위성방송","응답자","음성통화/문자 제외","평균","분","99.2","","","","","","","","","","",
"IPTV","전체","음성통화 제외","사례수","명","","","","","2546","2959","","","","","",
"IPTV","전체","음성통화 제외","1시간 미만","%","","","","","36.5","34.8","","","","","",
"IPTV","전체","음성통화 제외","1-2시간 미만","%","","","","","25.9","24.9","","","","","",
"IPTV","전체","음성통화 제외","2-3시간 미만","%","","","","","17.8","16.2","","","","","",
"IPTV","전체","음성통화 제외","3-4시간 미만","%","","","","","8.8","11.4","","","","","",
"IPTV","전체","음성통화 제외","4시간이상","%","","","","","11","12.8","","","","","",
"IPTV","전체","음성통화 제외","평균","분","","","","","99.2","105.3","","","","","",
"IPTV","응답자","음성통화 제외","사례수","명","","981","1297","1628","2295","2772","3167","3175","3170","3284","3822",
"IPTV","응답자","음성통화 제외","30분 미만","%","","8.4","10.9","","","","","","","","",
"IPTV","응답자","음성통화 제외","1시간 미만","%","","","","27.5","29.6","30.4","29.6","28.8","25.9","21.7","17.1",
"IPTV","응답자","음성통화 제외","30분-1시간 미만","%","","17.8","21.2","","","","","","","","",
"IPTV","응답자","음성통화 제외","1-2시간 미만","%","","29.9","52.7","33.2","28.7","26.5","32.7","30.6","30","25.6","26.6",
"IPTV","응답자","음성통화 제외","2-3시간 미만","%","","20.3","15.2","19.8","19.8","17.2","19.1","18.4","18.2","20.8","20.8",
"IPTV","응답자","음성통화 제외","3-4시간 미만","%","","","","7.7","9.7","12.2","9","10.7","11.9","14","15.5",
"IPTV","응답자","음성통화 제외","3시간 이상","%","","23.5","","","","","","","","","",
"IPTV","응답자","음성통화 제외","4시간이상","%","","","","11.8","12.2","13.6","9.7","11.4","14","17.9","20",
"IPTV","응답자","음성통화 제외","평균","분","","121.2","93.3","106.4","110.1","112.3","97.6","106.3","117.2","125","137.2",
"IPTV","응답자","음성통화/문자 제외","사례수","명","390","","","","","","","","","","",
"IPTV","응답자","음성통화/문자 제외","30분 미만","%","15.7","","","","","","","","","","",
"IPTV","응답자","음성통화/문자 제외","30분-1시간 미만","%","26","","","","","","","","","","",
"IPTV","응답자","음성통화/문자 제외","1-2시간 미만","%","34","","","","","","","","","","",
"IPTV","응답자","음성통화/문자 제외","2시간 이상","%","24.3","","","","","","","","","","",
"IPTV","응답자","음성통화/문자 제외","평균","분","82","","","","","","","","","","",
"대도시","전체","음성통화 제외","사례수","명","","","","","3428","3351","","","","","",
"대도시","전체","음성통화 제외","1시간 미만","%","","","","","45.7","44.4","","","","","",
"대도시","전체","음성통화 제외","1-2시간 미만","%","","","","","23.7","26.5","","","","","",
"대도시","전체","음성통화 제외","2-3시간 미만","%","","","","","15.2","13","","","","","",
"대도시","전체","음성통화 제외","3-4시간 미만","%","","","","","6.9","7.6","","","","","",
"대도시","전체","음성통화 제외","4시간이상","%","","","","","8.5","8.5","","","","","",
"대도시","전체","음성통화 제외","평균","분","","","","","82","80.8","","","","","",
"대도시","응답자","음성통화 제외","사례수","명","","1890","1997","2209","2824","2879","3013","2874","2461","2427","2686",
"대도시","응답자","음성통화 제외","30분 미만","%","","12.8","10.6","","","","","","","","",
"대도시","응답자","음성통화 제외","1시간 미만","%","","","","33.4","34.1","35.3","33.1","34.8","34.2","28.2","23.4",
"대도시","응답자","음성통화 제외","30분-1시간 미만","%","","17.9","24.7","","","","","","","","",
"대도시","응답자","음성통화 제외","1-2시간 미만","%","","31.7","49.9","31.1","28.7","30.8","32.5","30.3","29","27.9","27.7",
"대도시","응답자","음성통화 제외","2-3시간 미만","%","","17.2","14.8","18","18.5","15.2","18.5","18","15.2","17.7","19.2",
"대도시","응답자","음성통화 제외","3-4시간 미만","%","","","","7.3","8.4","8.9","8.2","8.2","11","11.7","12.9",
"대도시","응답자","음성통화 제외","3시간 이상","%","","20.5","","","","","","","","","",
"대도시","응답자","음성통화 제외","4시간이상","%","","","","10.3","10.3","9.9","7.7","8.7","10.6","14.4","16.9",
"대도시","응답자","음성통화 제외","평균","분","","108.2","91.8","100.7","99.6","94","89.9","92.8","99.8","111.1","123.1",
"대도시","응답자","음성통화/문자 제외","사례수","명","851","","","","","","","","","","",
"대도시","응답자","음성통화/문자 제외","30분 미만","%","18.4","","","","","","","","","","",
"대도시","응답자","음성통화/문자 제외","30분-1시간 미만","%","24.5","","","","","","","","","","",
"대도시","응답자","음성통화/문자 제외","1-2시간 미만","%","28.2","","","","","","","","","","",
"대도시","응답자","음성통화/문자 제외","2시간 이상","%","28.8","","","","","","","","","","",
"대도시","응답자","음성통화/문자 제외","평균","분","87.6","","","","","","","","","","",
"중소도시","전체","음성통화 제외","사례수","명","","","","","2860","2863","","","","","",
"중소도시","전체","음성통화 제외","1시간 미만","%","","","","","45.5","43.5","","","","","",
"중소도시","전체","음성통화 제외","1-2시간 미만","%","","","","","21.9","21.3","","","","","",
"중소도시","전체","음성통화 제외","2-3시간 미만","%","","","","","15.2","14.2","","","","","",
"중소도시","전체","음성통화 제외","3-4시간 미만","%","","","","","6.9","9.8","","","","","",
"중소도시","전체","음성통화 제외","4시간이상","%","","","","","10.6","11.2","","","","","",
"중소도시","전체","음성통화 제외","평균","분","","","","","87.3","93.4","","","","","",
"중소도시","응답자","음성통화 제외","사례수","명","","1377","1726","1702","2358","2480","2520","2403","2325","2200","2177",
"중소도시","응답자","음성통화 제외","30분 미만","%","","12.3","14.1","","","","","","","","",
"중소도시","응답자","음성통화 제외","1시간 미만","%","","","","30.3","33.8","34.8","33.8","34.3","25.3","25.3","19.2",
"중소도시","응답자","음성통화 제외","30분-1시간 미만","%","","23.4","21.3","","","","","","","","",
"중소도시","응답자","음성통화 제외","1-2시간 미만","%","","28.7","47.3","30.7","26.5","24.6","28.9","26.9","26.1","24.4","22.6",
"중소도시","응답자","음성통화 제외","2-3시간 미만","%","","16.7","17.2","18.2","18.4","16.4","16.1","15.9","19.6","19.7","20.7",
"중소도시","응답자","음성통화 제외","3-4시간 미만","%","","","","8.6","8.4","11.3","9.7","12.1","12.9","14","16.1",
"중소도시","응답자","음성통화 제외","3시간 이상","%","","19","","","","","","","","","",
"중소도시","응답자","음성통화 제외","4시간이상","%","","","","12.1","12.8","12.9","11.5","10.8","16","16.7","21.4",
"중소도시","응답자","음성통화 제외","평균","분","","104.6","95.7","106.4","106","107.8","98.1","101.4","126.1","119.7","139.4",
"중소도시","응답자","음성통화/문자 제외","사례수","명","745","","","","","","","","","","",
"중소도시","응답자","음성통화/문자 제외","30분 미만","%","21.2","","","","","","","","","","",
"중소도시","응답자","음성통화/문자 제외","30분-1시간 미만","%","26.8","","","","","","","","","","",
"중소도시","응답자","음성통화/문자 제외","1-2시간 미만","%","26.2","","","","","","","","","","",
"중소도시","응답자","음성통화/문자 제외","2시간 이상","%","25.7","","","","","","","","","","",
"중소도시","응답자","음성통화/문자 제외","평균","분","86.3","","","","","","","","","","",
"군지역","전체","음성통화 제외","사례수","명","","","","","1265","1172","","","","","",
"군지역","전체","음성통화 제외","1시간 미만","%","","","","","64.5","61.5","","","","","",
"군지역","전체","음성통화 제외","1-2시간 미만","%","","","","","17.2","17","","","","","",
"군지역","전체","음성통화 제외","2-3시간 미만","%","","","","","10.2","7.4","","","","","",
"군지역","전체","음성통화 제외","3-4시간 미만","%","","","","","4.4","6.2","","","","","",
"군지역","전체","음성통화 제외","4시간이상","%","","","","","3.7","7.9","","","","","",
"군지역","전체","음성통화 제외","평균","분","","","","","48.9","60.5","","","","","",
"군지역","응답자","음성통화 제외","사례수","명","","434","579","657","770","790","932","1192","988","988","1496",
"군지역","응답자","음성통화 제외","30분 미만","%","","13","14.9","","","","","","","","",
"군지역","응답자","음성통화 제외","1시간 미만","%","","","","30.8","41.6","42.9","41.5","36.3","37.9","34.1","37.5",
"군지역","응답자","음성통화 제외","30분-1시간 미만","%","","21.9","24.8","","","","","","","","",
"군지역","응답자","음성통화 제외","1-2시간 미만","%","","27.7","47.4","30.4","28.3","25.2","24.6","26.2","27.1","19.4","23.3",
"군지역","응답자","음성통화 제외","2-3시간 미만","%","","17.7","12.9","19","16.7","11","15.9","16","17.3","16","14.3",
"군지역","응답자","음성통화 제외","3-4시간 미만","%","","","","9.7","7.3","9.1","7.9","11.1","7.8","10.6","12.2",
"군지역","응답자","음성통화 제외","3시간 이상","%","","19.7","","","","","","","","","",
"군지역","응답자","음성통화 제외","4시간이상","%","","","","10.1","6.1","11.7","10.2","10.3","10","19.8","12.7",
"군지역","응답자","음성통화 제외","평균","분","","102","80.4","97.8","80.3","89.8","87.9","94.6","90.5","114.6","98.4",
"군지역","응답자","음성통화/문자 제외","사례수","명","207","","","","","","","","","","",
"군지역","응답자","음성통화/문자 제외","30분 미만","%","17.9","","","","","","","","","","",
"군지역","응답자","음성통화/문자 제외","30분-1시간 미만","%","29.5","","","","","","","","","","",
"군지역","응답자","음성통화/문자 제외","1-2시간 미만","%","25.5","","","","","","","","","","",
"군지역","응답자","음성통화/문자 제외","2시간 이상","%","27.1","","","","","","","","","","",
"군지역","응답자","음성통화/문자 제외","평균","분","79.1","","","","","","","","","","",
