,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL
동대문(11060),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,281,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9.79E+12,77810,8,810,문학 > 한국문학 > 한국문학,280,https://image.aladin.co.kr/product/27456/81/cover/k752733475_1.jpg
,3,3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9.79E+12,77810,7,810,문학 > 한국문학 > 한국문학,279,https://image.aladin.co.kr/product/26556/36/cover/k602738939_1.jpg
,4,4,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9.79E+12,77810,4,810,문학 > 한국문학 > 한국문학,254,https://image.aladin.co.kr/product/23568/96/cover/k992638123_1.jpg
,5,5,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,249,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
동작(11200),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,2,813.7,문학 > 한국문학 > 소설,134,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg
,2,2,아몬드 :손원평 장편소설,지은이: 손원평,창비,2017,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,128,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg
,3,3,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,126,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,4,4,도쿠가와 이에야스 :야마오카 소하치 대하소설,지은이: 야마오카 소하치 ;옮긴이: 이길진,솔,2015,9.79E+12,,,833.6,문학 > 일본문학 > 소설,119,http://image.aladin.co.kr/product/6725/1/cover/k522434163_1.jpg
,5,5,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,118,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
마포(11140),1,1,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,210,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,208,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,3,3,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,187,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
,4,4,아몬드 :손원평 장편소설,지은이: 손원평,창비,2017,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,185,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg
,5,4,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,185,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
서대문(11130),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,138,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,친구의 전설 :이지은 그림책,글·그림: 이지은,웅진씽크빅,2021,9.79E+12,74800,,813.7,문학 > 한국문학 > 소설,111,https://image.aladin.co.kr/product/27412/26/cover/8901251221_1.jpg
,3,3,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,9,833.6,문학 > 일본문학 > 소설,110,https://image.aladin.co.kr/product/25732/47/cover/k092736875_1.jpg
,4,4,수박 수영장 :안녕달 그림책,지은이: 안녕달,창비,2015,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,109,https://bookthumb-phinf.pstatic.net/cover/093/451/09345174.jpg?type=m1&udate=20180718
,5,5,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,10,833.6,문학 > 일본문학 > 소설,108,https://image.aladin.co.kr/product/26602/10/cover/k742739914_1.jpg
서초(11220),1,1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9.79E+12,77810,3,810,문학 > 한국문학 > 한국문학,332,https://image.aladin.co.kr/product/22327/46/cover/k782636924_1.jpg
,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,331,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,3,2,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,8,833.6,문학 > 일본문학 > 소설,331,https://image.aladin.co.kr/product/25020/81/cover/k782632928_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,9,833.6,문학 > 일본문학 > 소설,327,https://image.aladin.co.kr/product/22712/95/cover/k102636135_1.jpg
,5,5,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,5,833.6,문학 > 일본문학 > 소설,302,https://image.aladin.co.kr/product/23450/15/cover/k522638585_1.jpg
성동(11040),1,1,꿈을 찾는 꿈바꼭질,인정림 글 ;최지은 그림,좋은책어린이,2021,9.79E+12,73810,,813.7,문학 > 한국문학 > 소설,698,
,2,2,추피가 숲에 갔어요,티에리 쿠르텡 글·그림,,2017,9.79E+12,74860,,375.1,사회과학 > 교육학 > 유아 및 초등교육,369,
,3,3,환락의 집,지은이: 이디스 워튼 ;옮긴이: 전승희,민음사,2022,9.79E+12,4890,,843.5,문학 > 영미문학 > 소설,282,http://image.aladin.co.kr/product/1393/20/cover/scm197451731367.jpg
,4,4,이상한 나라의 앨리스,프뢰벨 편집부,프뢰벨,2010,9.79E+12,74800,,808.9,"문학 > 문학 > 전집, 총서",253,
,5,5,"그루터기야, 생일 축하해",글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2005,9.79E+12,74800,,833.6,문학 > 일본문학 > 소설,240,https://bookthumb-phinf.pstatic.net/cover/072/824/07282411.jpg?type=m1&udate=20130813
성북(11080),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,177,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,(서울 자가에 대기업 다니는) 김 부장 이야기,송희구 지음,서삼독,2021,9.79E+12,3320,2,325.04,사회과학 > 경제학 > 경영관리,148,https://image.aladin.co.kr/product/27794/38/cover/k752734064_1.jpg
,3,3,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,141,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,9,833.6,문학 > 일본문학 > 소설,137,https://image.aladin.co.kr/product/22712/95/cover/k102636135_1.jpg
,5,5,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,135,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
송파(11240),1,1,Wet feet,by Roderick Hunt;illustrated by Alex Brychta,,2011,9.78E+12,,,747,"언어 > 영어 > 독본, 해석, 회화",206,
,2,2,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,8,833.6,문학 > 일본문학 > 소설,194,https://image.aladin.co.kr/product/19874/27/cover/k432635431_1.jpg
,3,3,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,7,833.6,문학 > 일본문학 > 소설,191,https://image.aladin.co.kr/product/17457/14/cover/k792534209_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,3,833.6,문학 > 일본문학 > 소설,178,http://image.aladin.co.kr/product/10644/93/cover/8937889714_1.jpg
,5,4,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,트롤,아이세움,2018,9.79E+12,74830,6,833.8,문학 > 일본문학 > 소설,178,https://bookthumb-phinf.pstatic.net/cover/135/613/13561388.jpg?type=m1&udate=20180619
양천(11150),1,1,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,163,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,2,2,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,161,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
,3,3,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,157,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,2,833.6,문학 > 일본문학 > 소설,152,https://bookthumb-phinf.pstatic.net/cover/113/327/11332741.jpg?type=m1&udate=20161209
,5,4,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,9,833.6,문학 > 일본문학 > 소설,152,https://image.aladin.co.kr/product/25732/47/cover/k092736875_1.jpg
영등포(11190),1,1,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,4,833.6,문학 > 일본문학 > 소설,100,https://bookthumb-phinf.pstatic.net/cover/124/953/12495377.jpg?type=m1&udate=20170829
,2,2,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,1,833.6,문학 > 일본문학 > 소설,89,http://image.aladin.co.kr/product/8920/23/cover/8937838753_1.jpg
,3,3,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,10,833.6,문학 > 일본문학 > 소설,85,https://image.aladin.co.kr/product/26602/10/cover/k742739914_1.jpg
